numprocesso,objeto,orgao,adesao_ata_srp-2023__qtd_registros,alteracoes_ata_srp-2023__qtd_registros,contratos-2023__qtd_registros,empresas_participantes-2023__qtd_registros,itens-2023__qtd_registros,lotes-2023__qtd_registros,orgaos_participantes-2023__qtd_registros,publicidade-2023__qtd_registros,anomaly_score,is_anomalous
53,servicos de engenharia de Construcao da Delegacia Cidada Padrao II  Cianorte localizada na Av Maranhao s n no municipio de Cianorte Paraná,SECID-Secretaria de Estado das Cidades (Antigo SEDU),58.0,4.0,15.0,35.0,34.0,36.0,727.0,7.0,-0.07383299726564518,0
55,"Contratacao de empresa especializada para execucao da reforma no Predio Sede da PGE, situado a Rua Paula Gomes, n 110, no município de Curitiba, Parana.",SECID-Secretaria de Estado das Cidades (Antigo SEDU),4.0,3.0,4.0,8.0,38.0,17.0,54.0,3.0,-0.15849502037263236,0
56,"Contratação de empresa especializada para execução da conclusão da obra de Construção do Centro de Referência Especializado de Assistência Social - CREAS, sito à Rua Marcílio Dias esquina com Rua Paraná, lote nº 01, no município de Anahy, Paraná.",SECID-Secretaria de Estado das Cidades (Antigo SEDU),,,2.0,3.0,5.0,6.0,13.0,4.0,-0.17000494267922428,0
57,CONTRATAÇÃO DE EMPRESA PARA REFORMA SEGUNDA FASE DA DIVISÃO DE RADIOLOGIA PARA ADEQUAÇÃO DA SALA PARA INSTALAÇÃO DO SEGUNDO TOMOGRAFO DO HOSPITAL UNIVERSITÁRIO,UEL-Universidade Estadual de Londrina,,,3.0,27.0,57.0,57.0,78.0,4.0,-0.10217695642064706,0
59,CONTRATAÇÃO DE EMPRESA PARA REFORMA DA UNIDADE DE MOLÉSTIAS INFECCIOSAS DO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE ESTADUAL DE LONDRINA,UEL-Universidade Estadual de Londrina,,,2.0,3.0,37.0,37.0,,6.0,-0.08764089641299239,0
64,"Contratação de empresa especializada para execução de reforma no Instituto Médico Legal e no Instituto de Criminalística, sito à Rua Engenheiro Antônio Rebouças, 1755, Bairro Santa Cruz no município de Guarapuava, Paraná.",SECID-Secretaria de Estado das Cidades (Antigo SEDU),,,,,12.0,10.0,,9.0,-0.17154994685903086,0
65,"Execução dos serviços de manutenção e conservação de rodovias estaduais não pavimentadas, Lote 04, pertencente a Superintendência Regional Campos Gerais, na Rodovia PR-364 e Rodovia PR-565, conforme projeto executivo e Termo de Referência, Anexo 1 do Edital.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,,,7.0,9.0,14.0,8.0,,2.0,-0.1608966986299053,0
68,"Execução da obra de restauração do pavimento poliédrico das rodovias PR-471 e PR-920 em uma extensão total de 13,82 km, no município de Campina da Lagoa",DER-Departamento de Estradas de Rodagem do Estado do Paraná,,33.0,2.0,48.0,119.0,125.0,174.0,4.0,0.0195160176468544,1
72,"Contratacao de empresa especializada para execucao de obra de Construcao do Centro de Integracao Social CIS Campo Mourao, cujo endereco e Lote 151A, Gleba 01, 3a parte da Colonia Mourao, municipio de Campo Mourao",SECID-Secretaria de Estado das Cidades (Antigo SEDU),,,7.0,13.0,38.0,31.0,,5.0,-0.1190229282653274,0
74,"SERVIÇO PARA 
EXECUÇÃO DA REFORMA DE ADEQUAÇÃO DE ACESSIBILIDADE, PREVENÇÃO INCÊNDIO E 
ADEQUAÇÃO CME conforme o projeto arquitetônico",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,63.0,,23.0,9.0,30.0,9.0,24.0,4.0,-0.08066625918570641,0
75,"Contratação de empresa especializada na prestação de Serviços Técnicos para Elaboração de
Projetos Básico e Executivos de Arquitetura e Engenharia, e a execução da obra de Reformado
Escritório Local do IAT, Reparos do Centro Receptivo de Brasília, da Revitalização da Praça de
Alimentação e da Praça ao Ar Livre em Encantadas na Ilha do Mel  Paranaguá - PR, além de
solicitação de alvarás e licenças necessárias, através de Contratação Integrada, conforme Planilha
Orçamentária de referência, constante no ANEXO XIV, e regulamentação pelo Decreto Estadual nº
10.086 de 2022, e especificações, de acordo com as condições constantes no Termo de Referência,
Anexo XI do Edital.",IAT-Instituto Água e Terra (Antigo IAP),,,2.0,2.0,8.0,7.0,,3.0,-0.11449682371333847,0
77,"ontratação de serviços de engenharia para execução da obra de controle e recuperação da erosão
Água da Mina, localizada a oeste da sede do município de Loanda, por meio de Concorrência, tipo
integrada, de acordo com as condições constantes no Termo de Referência, Anexo XIII do Edital.",IAT-Instituto Água e Terra (Antigo IAP),6.0,,9.0,23.0,100.0,22.0,341.0,3.0,-0.07254935821207631,0
82,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA E QUALIFICADA,
PARA PRESTAÇÃO DE SERVIÇO PARA EXECUÇÃO DA AMPLIAÇÃO E
REFORMA DA SALA DE TOMOGRAFIA CONFORME O PROJETO
ARQUITETÔNICO, PARA INSTALAÇÃO DE TOMÓGRAFO E RAIO X",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,18.0,,13.0,119.0,329.0,126.0,716.0,4.0,0.10739078272012881,1
83,"Execução de serviços de manutenção e conservação rotineira e periódica do pavimento das rodovias sob jurisdição do Departamento de Estradas de Rodagem do Paraná, com fornecimento de materiais, subdividido em quarenta lotes, de acordo com o estabelecido no Termo de Referência, Anexo 01 do Edital.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,,,2.0,2.0,42.0,42.0,,3.0,0.03788731641200671,1
84,"Execução de serviços de conservação do pavimento e da faixa de domínio dos trechos de      rodovias sob jurisdição do Departamento de Estradas de Rodagem do Paraná, com fornecimento de materiais, que estão inseridos no novo programa de concessão de rodovias, subdivididos em cinco lotes, de acordo com o estabelecido no Termo de Referência.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,,,2.0,4.0,9.0,8.0,,3.0,-0.11459564324873556,0
86,"CONTRATAÇÃO DE EMPRESA ESPECIALIZADA E QUALIFICADA,
PARA PRESTAÇÃO DE SERVIÇO PARA EXECUÇÃO DA REFORMA DE
READEQUAÇÃO DA SALA CONFORME O PROJETO ARQUITETÔNICO,
PARA INSTALAÇÃO DE TOMÓGRAFO E RAIO X",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,8.0,9.0,13.0,8.0,10.0,3.0,-0.15735467427048333,0
87,Contratação de empresa para prestação de serviços de pintura externa e manutenção de fachadas do Câmpus Santa Cruz da Unicentro.,UNICENTRO-Universidade Estadual do Centro-Oeste,,,3.0,7.0,8.0,7.0,,7.0,-0.16893990982009366,0
5,CONTRATAÇÃO DE SERVIÇOS TÉCNICOS DE ENGENHARIA PARA EXECUÇÃO DA TORRE DE TRANSFORMAÇÃO DE ENERGIA ELÉTRICA DO IPA/CCA.,UEL-Universidade Estadual de Londrina,,,2.0,3.0,24.0,18.0,,9.0,-0.14386958830331076,0
17,CONTRATAÇÃO DE PROJETOS COMPLEMENTARES E ORÇAMENTO PARA REFORMA E AMPLIAÇÃO DO PRONTO SOCORRO OBSTÉTRICO COM O OBJETIVO DE INSTALAR O EQUIPAMENTO DE RESSONÂNCIA NO HOSPITAL UNIVERSITÁRIO DA UNIVERSIDADE ESTADUAL DE LONDRINA,UEL-Universidade Estadual de Londrina,,,4.0,10.0,101.0,75.0,,7.0,0.09207638216739777,1
29,"AQUISIÇÃO DE MATERIAIS DE MANUTENÇÃO DIVERSOS - TINTAS, FECHADURAS, TUBOS DE PVC, TOMADAS, LIXAS, VALVULAS, BARRA DE APOIO PARA BANHEIRO, ENTRE OUTROS -  PARA O HOSPITAL UNIVERSITÁRIO DE LONDRINA",UEL-Universidade Estadual de Londrina,14.0,26.0,5.0,80.0,85.0,87.0,767.0,8.0,-0.02887346937170976,0
9,"Credenciamento de pessoas jurídicas para prestação de serviços contínuos de arbitragem esportiva especializada, sem dedicação de exclusiva de mão de obra, para os Jogos Oficiais do Estado do Paraná, em observância aos requisitos mínimos e aos valores estabelecidos neste edital e seus anexos.",PRESP-Paraná Esporte (Antigo IPCE),15.0,61.0,14.0,123.0,571.0,453.0,902.0,16.0,0.23091904465668178,1
3,Contratação de empresa especializada para execução dos programas ambientais previstos na etapa durante a obra do derrocamento submarino de altos fundos do maciço rochoso das pedras Palanganas no âmbito da Licença de Instalação -L.I.- nº 1144/2016 emitida pelo Ibama pelo período de 12 -doze- meses podendo ser prorrogado de acordo com a Lei 13.303/2016 e RILC da APPA desde que previamente acordado entre as partes.,APPA-Administração dos Portos de Paranaguá e Antonina,,,6.0,8.0,22.0,22.0,,15.0,0.1553292545654612,1
5,"contratação de empresa especializada para elaboração de Projeto Básico de Engenharia para construção de novo trapiche na Vila dos Pescadores, Pontal do Paraná, em decorrência da influência da dragagem de aprofundamento do Porto de Paranaguá",APPA-Administração dos Portos de Paranaguá e Antonina,,,2.0,3.0,24.0,18.0,,9.0,-0.14386958830331076,0
10,contratação de empresa-s- de Engenharia na modalidade integrada para elaboração dos projetos básico executivo e realização das obras de recuperação estrutural de 80 metros do cais do Porto de Paranaguá entre os cabeços de amarração 32 e 35,APPA-Administração dos Portos de Paranaguá e Antonina,,8.0,14.0,10.0,19.0,18.0,20.0,13.0,-0.09602927850682763,0
11,Contratacao semi integrada de empresa tecnica especializada para elaboracao do projeto executivo e execucao da revitalizacao do acesso ao Porto de Antonina incluindo os servicos de pavimentacao em concreto ciclovia calcadas terraplanagem drenagem sinalizacao e demais servicos complementares em vias importantes para o fluxo de caminhoes que acessam o Porto Barao de Teffe e o Terminal Ponta do Felix no Municipio de Antonina conforme escopo especificacao de servicos e demais condicoes presentes nesse Termo de Referencia e demais documentos tecnicos em anexo.,APPA-Administração dos Portos de Paranaguá e Antonina,,,3.0,31.0,46.0,44.0,,14.0,-0.07741701772180426,0
14,"Contratação de empresa s de Engenharia, na modalidade SEMI INTEGRADA, para elaboração dos projetos executivos e realização das obras de Reestruturação Rodoferroviária da Região Leste do Porto de Paranaguá, visando o reordenamento do sistema viário e implantação de pera ferroviária para centralização da descarga de trens em moegas exclusivas Moegão, conforme escopo, especificação de serviços e demais condições presentes no Termo de Referência, documentos técnicos em anexo e Edital.",APPA-Administração dos Portos de Paranaguá e Antonina,,,3.0,11.0,22.0,22.0,,16.0,-0.09764228930690716,0
16,"Contratação de empresa s de Engenharia, na modalidade empreitada por preco global, para fabricação e montagem das Passarelas Metálicas entre os Dolfins do Berço 219 do Porto de Paranaguá, conforme escopo, especificação de serviços e demais condições presentes nesse Termo de Referência, Edital e demais documentos técnicos em anexo.",APPA-Administração dos Portos de Paranaguá e Antonina,,,5.0,11.0,26.0,20.0,7.0,6.0,-0.15658540553229672,0
17,"Contratação de empresa especializada para execução dos serviços de dragagem de manutenção, por um prazo de 2 anos, visando remover o assoreamento dos canais de acesso, bacias de evolução, berços públicos e o Fundeadouro 6 dos Portos de Paranaguá e Antonina, de forma a manter as dimensões e profundidades previstas, conforme escopo, especificação de serviços e demais condições presentes no Termo de Referência, Edital e demais documentos técnicos.",APPA-Administração dos Portos de Paranaguá e Antonina,,,4.0,10.0,101.0,75.0,,7.0,0.09207638216739777,1
7,"Prestação
de serviço de manutenção preventiva e corretiva com mão de obra especializada no
equipamento de imagens médicas DAPI  Diagnostico Avançado Por Imagem",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,9.0,8.0,29.0,21.0,22.0,22.0,24.0,10.0,-0.042616526376599184,0
9,Aquisição de equipamentos hospitalares CAMA PPP Elétrica,FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,15.0,61.0,14.0,123.0,571.0,453.0,902.0,16.0,0.23091904465668178,1
10,"Contratação de empresa para prestação de serviços continuados de limpeza, nas dependências das Regionais da CELEPAR, localizadas nas cidades de Maringá, Londrina, Jacarezinho, Umuarama e Pato Branco, através de metodologia e cobrança por postos de trabalho e também por metro quadrado para o serviço de jardinagem, pelo período de 60 sessenta meses, conforme especificações descrita nos termos do edital e seus anexos.",CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná,,8.0,14.0,10.0,19.0,18.0,20.0,13.0,-0.09602927850682763,0
16,"Contratação de empresa especializada para a prestação de serviços de MANUTENÇÃO PREVENTIVA E CORRETIVA DE AR CONDICIONADOS da Administração dos Portos de Paranaguá e Antonina  APPA, com fornecimento de mão de obra exclusiva, conforme justificativas, normas e demais especificações  estabelecidas no Termo de referência, Edital e anexos.",APPA-Administração dos Portos de Paranaguá e Antonina,,,5.0,11.0,26.0,20.0,7.0,6.0,-0.15658540553229672,0
31,"contratação de empresa especializada para fornecer Postos de Trabalho para Serviços Especializados em Engenharia de Segurança e em Medicina do Trabalho SESMT, com disponibilização de Técnico em Segurança do Trabalho, Engenheiro de Segurança do Trabalho, Enfermeiro do Trabalho e Médico do Trabalho, com fornecimento de mão de obra, equipamentos e uniformes, equipamentos de proteção Individual, pelo regime de execução indireta, visando a obtenção de adequadas condições de saúde e segurança do trabalho",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,1.0,3.0,19.0,8.0,,2.0,-0.179806951580467,0
36,"SERVIÇO ESPECIALIZADO DE EMPRESA DE ENGENHARIA, VISANDO A
ELABORAÇÃO DE LAUDO E PROJETO EXECUTIVO, PARA POSSIBILITAR A CONTRATAÇÃO DE
EMPRESAS CONSTRUTORAS PARA REALIZAÇÃO DA REFORMA E READEQUAÇÃO DO SISTEMA
DE COLETA DE ÁGUAS PLUVIAIS COBERTURA E REDE",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,3.0,10.0,12.0,12.0,,10.0,-0.15855442157172817,0
42,"Empresa especializada e qualificada para prestação de serviços de manutenção preventiva e corretiva dos SISTEMAS DE DETECÇÃO E ALARME DE INCÊNDIO, com fornecimento de peças, materiais e acessórios",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,2.0,2.0,4.0,4.0,,5.0,-0.049968195240027935,0
43,"Prestação de
serviços de manutenção preventiva e corretiva dos SISTEMAS DE DETECÇÃO E ALARME DE
INCÊNDIO",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,3.0,3.0,4.0,4.0,,13.0,-0.13697775996049633,0
48,Contratação de empresa para fornecimento de materiais para a infraestrutura de rede eletrica e logica da Celepar,CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná,,,3.0,4.0,101.0,4.0,,4.0,-0.1204827703686685,0
51,"O objeto desta licitação é a contratação de empresa especializada na prestação de serviços de solução de outsourcing de impressão, distribuído em bilhetagem por franquia e manutenção do parque de impressoras que já integram o patrimônio do TCEPR, conforme edital.",TCEPR-Tribunal do Contas do Estado do Paraná,,,4.0,3.0,3.0,3.0,,4.0,-0.16740971270548338,0
58,"Contratação de empresa para fornecimento de Licenças de atualização para o Software Security Center Genetec, parametrização do sistema com acompanhamento assistido, manutenção e suporte técnico especializado 24x7, durante 12 meses, treinamento oficial do fabricante e treinamento operacional, conforme condições, justificativas, quantidades e demais especificações  estabelecidas no termo de referência e edital.",APPA-Administração dos Portos de Paranaguá e Antonina,,75.0,3.0,5.0,87.0,5.0,84.0,6.0,-0.10968253067365086,0
59,"Contratação de empresa para prestação de serviços de locação de 02 autoenvelopadoras para formulários tamanhos A4 e A5 e 01 serrilhadora de formulário plano, novas, sem uso anterior, incluindo manutenção preventiva e corretiva, assistência e suporte técnico, com cobertura total de peças, insumos, consumíveis e componentes",CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná,,,2.0,3.0,37.0,37.0,,6.0,-0.08764089641299239,0
71,"Contratação de empresa especializada no fornecimento, implantação e manutenção de solução corporativa de gestão integrada de recursos humanos pelo período de 60 meses, compreendida por software de gestão integrada de recursos humanos em Saas, direito de uso e serviços de apoio à análise, migração de dados, parametrização, implantação dos módulos adquiridos, integração com sistemas usados pela Celepar, treinamento, operação assistida, manutenções preventivas e corretivas, suporte técnico, garantia de atualização de versoes para atender a todas as mudanças na legislação durante o prazo do contrato e customização, denominada solução de RH.",CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná,,,5.0,3.0,14.0,5.0,,10.0,-0.14039657514654919,0
79,"Prestação de Serviço de Manutenção Preventiva, Corretiva e Calibração, com fornecimento/substituição de peças e acessórios em Equipamentos Médicos Hospitalares,",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,10.0,22.0,55.0,27.0,,2.0,-0.1299734621011739,0
83,"A presente licitação tem por objeto a prestação de serviços de manutenção e locação de relógio ponto eletrônico biométrico, para atender a demanda do Hospital da Polícia Militar do Paraná, conforme especificações e quantidades definidas no Anexo I do presente Edital. Para o critério de disputa, será considerado o VALOR MÉDIO MENSAL, conforme as regras estabelecidas no Edital, as quais são de observância obrigatória.",PMPR-HPM-Hospital da Polícia Militar - SESP,,,2.0,2.0,42.0,42.0,,3.0,0.03788731641200671,1
100,"Contratação de empresa especializada para o fornecimento de pacotes de serviços padronizados e oficiais da fabricante HEWLETT PACKARD ENTERPRISE - HPE para Atualização de Versão, Suporte Técnico e Manutenção do Hardware Superdome X, 3PAR, Switches e licenciamento VMware OEM, em regime 24x7, pelo período de 30 meses, conforme requisitos e especificações constantes do Termo de Referência.",REPR-Receita Estadual do Paraná (Antigo CRE),,,3.0,6.0,26.0,4.0,,4.0,-0.16658587839351158,0
111,Contratacao de empresa especializada para a para a construcao de muro nas adjacencias da Vila da Madeira sob responsabilidade do Porto de Paranagua incluindo materiais mao de obra e todos os equipamentos necessarios a perfeita execucao dos servicos sob responsabilidade do Porto de Paranagua conforme escopo especificacao de servicos e demais condicoes estabelecidas no termo de referencia projetos anexos e edital,APPA-Administração dos Portos de Paranaguá e Antonina,15.0,7.0,10.0,15.0,19.0,17.0,9.0,2.0,-0.14660598839385902,0
114,"CONTRATAÇÃO DE SERVIÇOS DE HIGIENIZAÇÃO, HOTELARIA, CONSERVAÇÃO HOSPITALAR, JARDINAGEM, CAMAREIRA E AUXILIAR DE SERVIÇOS GERAIS, COM FORNECIMENTO DE MÃO DE OBRA, EQUIPAMENTOS, INSUMOS, MATERIAIS E UTENSÍLIOS, para atender a demanda do Hospital Regional do Litoral.",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,1.0,3.0,7.0,17.0,7.0,1.0,1.0,-0.15528305255465225,0
119,"Contratação de empresa especializada e qualificada, para prestação de serviço de Manutenção
Elétrica com fornecimento de materiais, conforme Laudo técnico e Planilha orçamentária apontamento
em auditoria contratada",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,10.0,1.0,7.0,9.0,9.0,10.0,1.0,-0.14306436721334076,0
127,"A presente licitação tem por objeto a contratação de empresa especializada e homologada junto a Agência Nacional de Aviação Civil  - ANAC -, com o objetivo de prestar serviço de manutenção aeronáutica preventiva e corretiva, com fornecimento de peças e demais itens necessários para manter a aeronavegabilidade do helicóptero Robinson R44, matrícula PR-YFH, ano 2006 e helicóptero Robinson R44, matrícula PP-PRL, ano 2009 de acordo com o manual de manutenção da aeronave, para uma programação de 400 horas voadas por ano, para cada aeronave, e/ou 12 meses, e demais itens prescritos no Anexo I do presente Edital.",SESP-Secretaria de Estado da Segurança Pública,,,8.0,31.0,14.0,29.0,,8.0,-0.1242932427906237,0
130,Prestação de serviço especializado de manutenção preventiva e corretiva em microscópios em geral,FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,16.0,7.0,11.0,12.0,14.0,18.0,,-0.10704484815117005,0
135,"Contratação de Empresa Especializada para FORNECIMENTO DE MÃO DE OBRA E MATERIAIS PARA EXECUÇÃO DAS INSTALAÇÕES ELÉTRICAS, CONFORME OS PROJETOS EXECUTIVOS EXISTENTES, ESPECIFICAÇÕES CONTIDAS NO MEMORIAL DESCRITIVO E PLANILHAS ORÇAMENTÁRIAS",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,1.0,2.0,4.0,4.0,,1.0,-0.18048780339663323,0
142,"contratação de empresa especializada, pelo período de 12 meses com possibilidade de prorrogação conforme legislação aplicável, para a cessão de mão de obra postos de trabalho, nas áreas de apoio higiene e limpeza, lavanderia e manejo e direcionamento de resíduos",UEM-Universidade Estadual de Maringá,10.0,24.0,9.0,12.0,38.0,23.0,89.0,,-0.13542161317261858,0
143,"Contratação de Empresa Especializada para revisão, manutenção preventiva e corretiva do Sistema
de Para Raio  Sistema de Proteção Contra Descargas Atmosféricas  SPDA com fornecimento de
insumos, materiais e peças, para um período de doze meses",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,4.0,15.0,20.0,12.0,,1.0,-0.15394137802300173,0
155,"CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE ELABORAÇÃO DE PROJETO ARQUITETONICO DE AS BUILT, PROJETO EXECUTIVO DE CLIMATIZAÇÃO E PROJETO ARQUITETONICO DA TOMOGRAFIA, CME E REFEITORIO.",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,,,60.0,60.0,,2.0,-0.08985036820452552,0
156,"Contratação de empresa especializada em Manutenção preventiva e corretiva, com fornecimento de peças, para os equipamentos de Raios-X.",UNIOESTE HUOP-Universidade Estadual do Oeste do Paraná - Hospital Universitário do Oeste do Paraná,,,,85.0,102.0,137.0,,3.0,0.013002232929493651,1
165,"Contratação de empresa para o fornecimento de Solução de Appliance Virtual Ruckus Data Plane, incluindo fornecimento de software, serviço de instalação e configuração, garantia e serviço de manutenção e suporte técnico.",CELEPAR-Companhia de Tecnologia da Informação e Comunicação do Paraná,,,2.0,2.0,6.0,2.0,,8.0,-0.13612567397063585,0
179,Registro de Preço para provável aquisição de materiais de manutenção,UNIOESTE FOZ-Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu,24.0,,2.0,27.0,63.0,28.0,81.0,3.0,-0.13042020622312633,0
186,Registro de Preços para Manutenção e Instalação de Aparelhos de Ar Condicionado,UNIOESTE TOLEDO-Universidade Estadual do Oeste do Paraná - Campus Toledo,,,3.0,57.0,23.0,15.0,9.0,6.0,-0.11242658037033298,0
187,"CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE GRUPO GERADOR, COM SUBSTITUIÇÃO DE PEÇAS.",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,4.0,1.0,4.0,5.0,4.0,3.0,3.0,-0.10140284784697912,0
189,"PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM ELEVADORES, COM REPOSIÇÃO/ FORNECIMENTO/ SUBSTITUIÇÃO DE PEÇAS E ACESSÓRIOS",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,3.0,2.0,2.0,2.0,,1.0,-0.11060779176615632,0
193,"Contratacao de empresa especializada na prestacao de servicos de manutencao e
instalacao de defensas escadas de acesso ao pier cabecos de amarracao chapas
expandidas e espacadores flutuantes de modo a manter a infraestrutura de acostagem do Porto de Paranaguá em condicoes adequadas com fornecimento de mao de obra exclusiva conforme justificativas normas e demais especificacoes estabelecidas no Termo de referencia Edital e anexos",APPA-Administração dos Portos de Paranaguá e Antonina,,,3.0,9.0,17.0,9.0,,1.0,-0.148246987608381,0
195,"Contratacao de prestacao de serviços de manutencao preventiva em ar condicionado, subdividido em 3 lotes, pelo período de 24 meses, conforme quantidades e especificacoes do Termo de referencia.",DER-Departamento de Estradas de Rodagem do Estado do Paraná,,,6.0,38.0,12.0,16.0,,2.0,-0.12594291845285505,0
196,Prestação de serviços de manutenção corretiva e preventiva de equipamento de purificação de água Milli-Q IQ 7010,FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,1.0,1.0,2.0,2.0,,3.0,-0.17968466600550448,0
200,Registro de Preço para provável aquisição de materiais para atividades laboratoriais para o curso de Engenharia Elétrica,UNIOESTE FOZ-Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu,,,,6.0,6.0,6.0,,7.0,-0.1740963556594699,0
201,PE UEL 48/2023 - CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE EQUIPAMENTO DE SISTEMA DE BRAÇOS ARTICULADOS HIDRÁULICOS PARA CAMINHÃO MUNCK.,UEL-Universidade Estadual de Londrina,,,2.0,2.0,3.0,2.0,,1.0,-0.16904406649208187,0
204,"CONTRATAÇÃO DE PRESTAÇÃO DE SERVIÇOS DE MANUTENÇÃO PREVENTIVA E CORRETIVA EM EQUIPAMENTOS MÉDICOS E HOSPITALARES, COM REPOSIÇÃO/FORNECIMENTO/SUBSTITUIÇÃO DE PEÇAS E ACESSÓRIOS.",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,3.0,9.0,15.0,13.0,,4.0,-0.15701179972889306,0
206,"CONTRATAÇÃO DE EMPRESA PARA SERVIÇOS DE MANUTENÇÃO MECÂNICA EM VEÍCULOS FLEX, COM FORNECIMENTO DE PEÇAS E MÃO DE OBRA PARA O CAMPUS E  HU-UEL.",UEL-Universidade Estadual de Londrina,,,,,1.0,1.0,,,-0.1783923414428948,0
227,Contratação de empresa especializada para prestação de serviço especializado em manutenção preventiva de equipamentos laboratoriais do Hemocentro,UEM-Universidade Estadual de Maringá,,,2.0,14.0,169.0,15.0,,,-0.07816264266957795,0
232,Registro de Preço para provável aquisição de materiais para o laboratório de Elétrico,UNIOESTE FOZ-Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu,2.0,31.0,,16.0,35.0,21.0,35.0,1.0,-0.1136860421099864,0
265,"Prestação de Serviço de Locação de Equipamento para Realização de Exames Laboratoriais de Hemoculturas, com Manutenção Preventiva e Corretiva, e o Fornecimento de Insumos, para atender à demanda do Complexo Hospitalar do Trabalhador CHT.",SESA-FUNSAUDE-Fundo Estadual de Saúde do Paraná - FUNSAUDE,,,2.0,2.0,3.0,2.0,,1.0,-0.18244442204008998,0
275,"Contratação de empresa especializada para prestação de serviços de chaveiro, fornecimento de chaves, conserto ou troca de chaves, com fornecimento de mão de obra e todo o material necessário para atender as necessidades da Unioeste Campus de Cascavel, Reitoria e Hospital Universitário HOUP.",UNIOESTE CASC-Universidade Estadual do Oeste do Paraná - Campus Cascavel,,,3.0,5.0,49.0,6.0,,1.0,-0.12863873916619445,0
330,Prestação de serviço de Manutenção Preventiva e Corretiva dos Equipamentos BDMAX e MGIT para atender a demanda do Laboratório Central do Estado do Paraná.,SESA-FUNSAUDE-Fundo Estadual de Saúde do Paraná - FUNSAUDE,,,4.0,12.0,10.0,10.0,,7.0,-0.16897997174477924,0
352,"Contratação de empresa especializada para prestação de serviços de manutenção preventiva e
corretiva, com reposição/ fornecimento/ substituição de peças e acessórios, em equipamentos de
costura",FUNEAS-Fundação Estatal de Atenção em Saúde do Estado do Paraná,,,1.0,2.0,3.0,3.0,,1.0,-0.17856489954018506,0
376,"Pregão Eletrônico do Tipo Menor Preço por item, objetivando a Contratação de empresa especializada em fornecimento de peças originais ou homologadas pelas marcas para manutenção corretiva do Cromatófrafo gasoso a espectrometria de massa GCMS para o HOspital Universitário do Oeste do Paraná - HUOP.",UNIOESTE HUOP-Universidade Estadual do Oeste do Paraná - Hospital Universitário do Oeste do Paraná,,,1.0,1.0,2.0,2.0,,2.0,-0.1660998109594954,0
377,"Serviços continuados de nutrição, cocção e fornecimento de refeições transportadas para atender a demanda dos Presídios, Cadeias, Carceragens de Delegacias da Polícia Civil de gestão plena do DEPPEN, gestão plena da Polícia Civil e as compartilhadas entre a Polícia Civil e o DEPPEN",DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM),,,,13.0,82.0,31.0,68.0,5.0,-0.102723290689679,0
