numprocesso;ano;modalidade;nrlote;caracteristicas;situacao;valor_estimado;valor_ou_desconto_homologado;cpf_cnpj_vencedor;nome_razaosocial_vencedor
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);16;LOTE 16 - PÃO - COTA RESERVADA PARA ME/EPP - CASCAVEL/PR (4º BBM);Homologado;55763.50;30959.00;57314937000159;L P DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);17;LOTE 17 - NÃO PERECÍVEIS - COTA RESERVADA PARA ME/EPP - CASCAVEL/PR (3ºCRBM);Homologado;57459.47;44880.61;58518522000160;PML DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);18;LOTE 18 - FRIOS - COTA RESERVADA PARA ME/EPP - CASCAVEL/PR (3ºCRBM);Homologado;18927.25;12356.00;02288456000124;ELLEV DISTRIBUIDORA LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);19;LOTE 19 - HORTIFRUTI - COTA RESERVADA PARA ME/EPP - CASCAVEL/PR (3ºCRBM;Homologado;44582.05;39065.30;37318569000100;LEON INDUSTRIA E EMPACOTADORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);20;LOTE 20 - CARNES VERMELHAS - COTA RESERVADA PARA ME/EPP - CASCAVEL/PR (3ºCRBM);Homologado;66702.50;45728.95;57314937000159;L P DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);21;LOTE 21 - AVES - COTA RESERVADA PARA ME/EPP - CASCAVEL/PR (3º CRBM);Homologado;12685.00;10430.30;57314937000159;L P DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);22;LOTE 22 - SUINOS - COTA RESERVADA PARA ME/EPP - CASCAVEL/PR (3º CRBM;Homologado;9896.40;6990.00;29617462000134;FRIGOLE COMERCIO DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);23;LOTE 23 - EMBUTIDOS E DEFUMADOS - COTA RESERVADA PARA ME/EPP - CASCAVEL/PR (3º CRBM;Homologado;6815.00;4565.30;02288456000124;ELLEV DISTRIBUIDORA LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);24;LOTE 24 - BEBIDAS - COTA RESERVADA PARA ME/EPP - CASCAVEL/PR (3º CRBM;Homologado;13631.80;7980.30;02288456000124;ELLEV DISTRIBUIDORA LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);25;LOTE 25 - PEIXE - COTA RESERVADA PARA ME/EPP - CASCAVEL/PR (3º CRBM);Homologado;11072.50;6235.00;57314937000159;L P DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);26;LOTE 26 - PÃO - COTA RESERVADA PARA ME/EPP - CASCAVEL/PR (3º CRBM);Homologado;8147.75;4523.50;57314937000159;L P DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);27;LOTE 27 - NÃO PERECÍVEIS - AMPLA CONCORRÊNCIA - TOLEDO/PR;Homologado;91444.79;78897.37;04252693000160;LBSX COMERCIO DE PRODUTOS ALIMENTICIOS LTDA.
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);28;LOTE 28 - NÃO PERECÍVEIS - COTA RESERVADA PARA ME/EPP - TOLEDO/PR;Homologado;28381.92;24500.10;04252693000160;LBSX COMERCIO DE PRODUTOS ALIMENTICIOS LTDA.
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);29;LOTE 29 - FRIOS - COTA RESERVADA PARA ME/EPP - TOLEDO/PR;Homologado;40319.45;29072.45;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);30;LOTE 30 - HORTIFRUTI - AMPLA CONCORRENCIA - TOLEDO/PR;Homologado;72658.11;72650.51;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);31;LOTE 31 - HORTIFRUTI - COTA RESERVADA PARA ME/EPP - TOLEDO/PR;Homologado;22771.74;22769.34;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);32;LOTE 32 - CARNES VERMELHAS - AMPLA CONCORRENCIA - TOLEDO/PR;Homologado;108757.00;72138.90;57314937000159;L P DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);33;LOTE 33 - CARNES VERMELHAS - COTA RESERVADA PARA ME/EPP - TOLEDO/PR;Homologado;34098.00;22620.30;57314937000159;L P DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);34;LOTE 34 - AVES - COTA RESERVADA PARA ME/EPP - TOLEDO/PR;Homologado;26927.50;20012.00;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);35;LOTE 35 - SUÍNOS - COTA RESERVADA PARA ME/EPP - TOLEDO/PR;Homologado;21352.20;13672.50;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);36;LOTE 36 - EMBUTIDOS E DEFUMADOS - COTA RESERVADA PARA ME/EPP - TOLEDO/PR;Homologado;14390.00;11420.50;57314937000159;L P DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);37;LOTE 37 - BEBIDAS - COTA RESERVADA PARA ME/EPP - TOLEDO/PR;Homologado;29173.70;17938.70;04252693000160;LBSX COMERCIO DE PRODUTOS ALIMENTICIOS LTDA.
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);38;LOTE 38 - PEIXE - COTA RESERVADA PARA ME/EPP - TOLEDO/PR;Homologado;23690.00;13340.00;57314937000159;L P DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);39;LOTE 39 - PÃO - COTA RESERVADA PARA ME/EPP - TOLEDO/PR;Homologado;17491.50;17421.30;23108812000150;KS LICITAÇÕES COMÉRCIO DE ALIMENTOS LTDA 
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);40;LOTE 40 - NÃO PERECÍVEIS - COTA RESERVADA PARA ME/EPP - PALOTINA/PR;Homologado;32802.64;32782.18;04252693000160;LBSX COMERCIO DE PRODUTOS ALIMENTICIOS LTDA.
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);41;LOTE 41 - FRIOS - COTA RESERVADA PARA ME/EPP - PALOTINA/PR;Homologado;10797.35;10790.85;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);42;LOTE 42 - HORTIFRUTI - COTA RESERVADA PARA ME/EPP - PALOTINA/PR;Homologado;26050.50;26050.50;58518522000160;PML DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);43;LOTE 43 - CARNES VERMELHAS - COTA RESERVADA PARA ME/EPP - PALOTINA/PR;Homologado;38480.00;34350.00;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);44;LOTE 44 - AVES - COTA RESERVADA PARA ME/EPP - PALOTINA/PR;Homologado;7187.50;7171.50;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);45;LOTE 45 - SUINOS - COTA RESERVADA PARA ME/EPP - PALOTINA/PR;Homologado;5795.40;5792.40;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);46;LOTE 46 - EMBUTIDOS E DEFUMADOS - COTA RESERVADA PARA ME/EPP - PALOTINA/PR;Homologado;4035.00;4031.00;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);47;LOTE 47 - BEBIDAS - COTA RESERVADA PARA ME/EPP - PALOTINA/PR;Homologado;7804.25;4590.10;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);48;LOTE 48 - PEIXE - COTA RESERVADA PARA ME/EPP - PALOTINA/PR;Homologado;6437.50;4875.00;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);49;LOTE 49 - PÃO - COTA RESERVADA PARA ME/EPP - PALOTINA/PR;Homologado;4634.50;4634.50;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);50;LOTE 50 - NÃO PERECÍVEIS - COTA RESERVADA PARA ME/EPP - MARECHAL CANDIDO RONDON/PR;Homologado;59168.33;48968.98;58518522000160;PML DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);51;LOTE 51 - FRIOS - COTA RESERVADA PARA ME/EPP - MARECHAL CANDIDO RONDON/PR;Homologado;19717.25;14809.35;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);52;LOTE 52 - HORTIFRUTI - COTA RESERVADA PARA ME/EPP - MARECHAL CANDIDO RONDON/PR;Homologado;46821.65;46819.25;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);53;LOTE 53 - CARNES VERMELHAS - COTA RESERVADA PARA ME/EPP - MARECHAL CANDIDO RONDON/PR;Homologado;69730.00;62195.00;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);54;LOTE 54 - AVES - COTA RESERVADA PARA ME/EPP - MARECHAL CANDIDO RONDON/PR;Homologado;13130.00;13100.50;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);55;LOTE 55 - SUINOS - COTA RESERVADA PARA ME/EPP - MARECHAL CANDIDO RONDON/PR;Homologado;10371.20;10366.20;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);56;LOTE 56 - EMBUTIDOS E DEFUMADOS - COTA RESERVADA PARA ME/EPP - MARECHAL CÂNDIDO RONDON/PR;Homologado;7310.00;7302.50;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);57;LOTE 57 - BEBIDAS - COTA RESERVADA PARA ME/EPP - MARECHAL CANDIDO RONDON/PR;Homologado;14129.90;9356.50;04252693000160;LBSX COMERCIO DE PRODUTOS ALIMENTICIOS LTDA.
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);58;LOTE 58 - PEIXE - COTA RESERVADA PARA ME/EPP - MARECHAL CÂNDIDO RONDON/PR;Homologado;11587.50;8547.75;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);59;LOTE 59 - PÃO - COTA RESERVADA PARA ME/EPP - MARECHAL CÂNDIDO RONDON/PR;Homologado;8446.75;8418.50;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);60;LOTE 60 - NÃO PERECÍVEIS - COTA RESERVADA PARA ME/EPP - GUAIRA/PR;Homologado;25617.56;25601.04;04252693000160;LBSX COMERCIO DE PRODUTOS ALIMENTICIOS LTDA.
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);61;LOTE 61 - FRIOS - COTA RESERVADA PARA ME/EPP - GUAÍRA/PR;Homologado;8689.85;8684.85;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);62;LOTE 62 - HORTIFRUTI - COTA RESERVADA PARA ME/EPP - GUAIRA/PR;Homologado;19993.25;19993.25;58518522000160;PML DISTRIBUIDORA DE ALIMENTOS LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);63;LOTE 63 - CARNES VERMELHAS - COTA RESERVADA PARA ME/EPP - GUAIRA/PR;Homologado;30387.50;26690.00;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);64;LOTE 64 - AVES - COTA RESERVADA PARA ME/EPP - GUAIRA/PR;Homologado;5552.50;5540.00;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);65;LOTE 65 - SUÍNOS - COTA RESERVADA PARA ME/EPP - GUAIRA/PR;Homologado;4473.40;4470.90;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);66;LOTE 66 - EMBUTIDOS E DEFUMADOS - COTA RESERVADA PARA ME/EPP - GUAIRA/PR;Homologado;3020.00;3017.00;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);67;LOTE 67 - BEBIDAS - COTA RESERVADA PARA ME/EPP - GUAIRA/PR;Homologado;6097.30;3647.15;04252693000160;LBSX COMERCIO DE PRODUTOS ALIMENTICIOS LTDA.
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);68;LOTE 68 - PEIXE - COTA RESERVADA PARA ME/EPP - GUAIRA/PR;Homologado;4892.50;3705.00;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
199;2025;Pregão Eletrônico (Lei Federal 14.133/2021);69;LOTE 69 - PÃO - COTA RESERVADA PARA ME/EPP - GUAIRA/PR;Homologado;3662.75;0.00;26507156000157;JEFFERSON RODRIGO SCHULZ LTDA
200;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;Contratação de empresa especializada na prestação de serviços médicos na área de radiologia e imagem - Raios-X com ou sem contraste, Tomografia Computadorizada e suas modalidades, Ressonância Magnética e suas modalidades, Biopsias Guiadas, Ultrassonografias e Mamografias, para atender de forma ininterrupta 07 - sete dias da semana as demandas do Hospital Universitário Regional dos Campos Gerais - HURCG, Hospital Universitário Materno Infantil - HUMAI e Ambulatorio Universitário Amadeu Puppi. ;Homologado;6810267.49;3299989.97;17227481000175;RDX SERVICOS MEDICOS LTDA
202;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;Lote 01 - Troféus Pinheiro - PRESP;Homologado;54234.85;15331.92;26194954000176;ELOART METAIS LTDA
202;2025;Pregão Eletrônico (Lei Federal 14.133/2021);2;Lote 02 - Troféus Pinhão;Homologado;202622.82;94600.00;08407695000132;ALESSANDRINI COMUNICACAO VISUAL LTDA
202;2025;Pregão Eletrônico (Lei Federal 14.133/2021);3;Lote 03 - Troféus Comemoração;Homologado;23680.38;12270.00;08407695000132;ALESSANDRINI COMUNICACAO VISUAL LTDA
202;2025;Pregão Eletrônico (Lei Federal 14.133/2021);4;Lote 04 - Troféus Verão Maior Paraná;Homologado;271605.60;127680.00;08407695000132;ALESSANDRINI COMUNICACAO VISUAL LTDA
202;2025;Pregão Eletrônico (Lei Federal 14.133/2021);5;Lote 05 - Troféus Jogos de Integração do Idoso;Homologado;49440.96;21456.00;08407695000132;ALESSANDRINI COMUNICACAO VISUAL LTDA
202;2025;Pregão Eletrônico (Lei Federal 14.133/2021);6;Lote 06 - Troféu Jogos De Aventura e Natureza;Homologado;755709.09;213925.86;26194954000176;ELOART METAIS LTDA
202;2025;Pregão Eletrônico (Lei Federal 14.133/2021);7;Lote 07 - Troféus Octogono - Eventos Paradesportivos;Homologado;14039.73;8505.00;08407695000132;ALESSANDRINI COMUNICACAO VISUAL LTDA
202;2025;Pregão Eletrônico (Lei Federal 14.133/2021);8;Lote 08 - Troféus Pinheiro - SEED;Homologado;63001.26;32130.00;08407695000132;ALESSANDRINI COMUNICACAO VISUAL LTDA
203;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;Lote Único;Homologado;450252.00;429000.00;04252693000160;LBSX COMERCIO DE PRODUTOS ALIMENTICIOS LTDA.
205;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;FITA INDICADORA/SOLUÇÃO DESINFETANTE/PUMP;Homologado;49005.80;47170.00;27091513000101;GOLDEN COMERCIO E LOCAÇÃO DE EQUIPAMENTOS MÉDICOS EIRELI
206;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;SERINGA/SONDA;Homologado;1221360.00;440276.00;49324221000104;FRESENIUS KABI BRASIL LTDA.
206;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;SERINGA/SONDA;Homologado;1221360.00;440276.00;49324221000104;FRESENIUS KABI BRASIL LTDA
207;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;ALVEJANTE/AMACIANTE/DETERGENTE/NEUTRALIZANTE;Homologado;888001.00;483723.50;05911697000176;DERMELYNE INDÚSTRIA DE COSMÉTICOS LTDA.
207;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;ALVEJANTE/AMACIANTE/DETERGENTE/NEUTRALIZANTE;Homologado;888001.00;483723.50;05911697000176;DERMELYNE INDÚSTRIA DE COSMÉTICOS LTDA.
208;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;AMASSADEIRA;Homologado;14288.14;8191.66;51037201000102;MB IMPORTACAO LTDA
208;2025;Pregão Eletrônico (Lei Federal 14.133/2021);2;CORTADOR DE LEGUMES;Homologado;2969.40;1680.00;38094484000158;ZDX PRODUTOS ELETRONICOS LTDA
208;2025;Pregão Eletrônico (Lei Federal 14.133/2021);3;DESCASCADOR;Homologado;7028.98;6160.40;33497491000187;OYSTER COMERCIO DE EQUIPAMENTOS LTDA
208;2025;Pregão Eletrônico (Lei Federal 14.133/2021);4;Extrator de sucos;Homologado;3472.80;1347.54;48277417000122;LICITASP DISTRIBUIDOR DE EQUIPAMENTOS SOCIEDADE UNIPESSOAL LTDA
208;2025;Pregão Eletrônico (Lei Federal 14.133/2021);5;GELADEIRA;Homologado;18180.42;14632.74;40965390000159;L A PAZINATO COMERCIO DE MATERIAIS E EQUIPAMENTOS LTDA
208;2025;Pregão Eletrônico (Lei Federal 14.133/2021);6;GELADEIRA;Homologado;33200.00;26399.96;51240452000181;TOMEN INOVAÇÕES LTDA
208;2025;Pregão Eletrônico (Lei Federal 14.133/2021);7;LIQUIDIFICADOR;Homologado;6880.00;4563.70;33497491000187;OYSTER COMERCIO DE EQUIPAMENTOS LTDA
208;2025;Pregão Eletrônico (Lei Federal 14.133/2021);8;LIQUIDIFICADOR;Homologado;8591.70;6289.00;51659136000149;SOUL DISTRIBUIDORA DE PRODUTOS E EQUIPAMENTOS INDUSTRIAIS LTDA
208;2025;Pregão Eletrônico (Lei Federal 14.133/2021);9;PASSTHROUGH;Homologado;13315.56;12597.98;40965390000159;L A PAZINATO COMERCIO DE MATERIAIS E EQUIPAMENTOS LTDA
208;2025;Pregão Eletrônico (Lei Federal 14.133/2021);10;Processador de bancada,;Fracassado;4440.64;;;
208;2025;Pregão Eletrônico (Lei Federal 14.133/2021);11;REFRESQUEIRA;Homologado;10954.48;10204.00;46368367000163;AMENA CLIMATIZACAO LTDA
208;2025;Pregão Eletrônico (Lei Federal 14.133/2021);12;Seladora de embalagens,;Homologado;2744.00;1446.20;38094484000158;ZDX PRODUTOS ELETRONICOS LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;EXCLUSIVA - AGUA SANITARIA EM FRASCO DE 1000 ML, ;Homologado;30500.00;13400.00;55187334000108;HAKOUR DISTRIBUIDORA DE ALIMENTOS LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);2;EXCLUSIVA - ALCOOL ETILICO HIDRATADO, LÍQUIDO. ;Homologado;21390.00;17580.00;34090540000125;N63 COM. DE PRODUTOS DE LIMPEZA LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);3;EXCLUSIVA - COMPRIMIDO EFERVESCENTE DE 5,0G, CONTENDO 1,5G DE CLORO ATIVO, UTILIZADO NA DESINFECÇÃO DE FRUTAS E VERDURAS. ;Homologado;14490.40;7859.20;43890354000161;Ordep Produtos Saneantes LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);4;EXCLUSIVA - DESINFETANTE LIQUIDO EM FRASCO DE 500ML, ;Homologado;9675.00;6525.00;55187334000108;HAKOUR DISTRIBUIDORA DE ALIMENTOS LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);5;COTA PRINCIPAL - DETERGENTE LIQUIDO NEUTRO/CLEAR , EM FRASCO DE 500ML, ;Homologado;63054.00;37968.00;55187334000108;HAKOUR DISTRIBUIDORA DE ALIMENTOS LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);6;COTA RESERVADA - DETERGENTE LIQUIDO NEUTRO/CLEAR , EM FRASCO DE 500ML, ;Homologado;21018.00;12656.00;55187334000108;HAKOUR DISTRIBUIDORA DE ALIMENTOS LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);7;AMPLA - DETERGENTE QUIMICO EM PO, TOTALMENTE SOLUVEL EM H2O, PARA LAVAGEM DE ROUPAS DE USO HOSPITALAR, COMPOSTO DE TENSOATIVOS ANIONICOS E NAO IONICOS, POLIFOSFATOS CARBONATOS BRANQUEADORES OTICOS, AGENTES SEQUESTRANTES E ANTI-REDEPOSITANTE, COM RENDIMENTO MINIMO DE 02 A 04 GRAMAS POR QUILO DE ROUPA., EMBALAGEM RESISTENTE COM 20 KG.. ANEXAR FISPQ, REGISTRO, NOTIFIC. OU ISENÇÃO JUNTO AO MS ;Homologado;21060.00;9976.50;10867300000126;CAROL COMERCIAL LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);8;EXCLUSIVA - DETERGENTE SANITÁRIO EM FORMA DE PASTILHA ADESIVA, PERFUMADA, COM FRAGRÂNCIA DE LAVANDA OU CITRUS, RENDIMENTO MÍNIMO DE 120 DESCARGAS, CAIXA CONTENDO 03 UNIDADES. ;Homologado;10840.00;6000.00;10867300000126;CAROL COMERCIAL LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);9;EXCLUSIVA - ESPONJA DE LÃ DE AÇO, PACOTE C/ 08 UNIDADES, ;Homologado;2082.40;889.20;55187334000108;HAKOUR DISTRIBUIDORA DE ALIMENTOS LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);10;EXCLUSIVA - LIMPA VIDROS EM FRASCO DE 500ML. ;Homologado;508.30;277.10;14455908000102;JUNIOR BARNABE DO NASCIMENTO ME
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);11;EXCLUSIVA - LIMPADOR AROMATIZANTE PARA LIMPEZA GERAL ;Homologado;24660.00;13440.00;34090540000125;N63 COM. DE PRODUTOS DE LIMPEZA LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);12;EXCLUSIVA - LIMPADOR MULTI USO PARA LIMPEZA PESADA,FRASCO/500ML ;Homologado;1632.00;1192.00;14455908000102;JUNIOR BARNABE DO NASCIMENTO ME
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);13;EXCLUSIVA - LUSTRA MOVEIS -FRASCO C/ 200 ML ;Homologado;1701.60;616.80;57069019000101;MULTILISA COMERCIO DE VARIEDADES LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);14;EXCLUSIVA - MULTILIMPADOR ESPUMANTE, AEROSOL SEM CFC, FRASCO COM NO MINIMO 380G. ;Fracassado;2388.00;;;
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);15;EXCLUSIVA - PALHA DE AÇO Nº 2, PESO MÍNIMO DE 22G/PACOTE. ;Homologado;620.00;237.50;57069019000101;MULTILISA COMERCIO DE VARIEDADES LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);16;EXCLUSIVA - PASTA SAPONACEA. LATA COM 500 GRAMAS ;Fracassado;217.20;;;
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);17;EXCLUSIVA - PEDRA SANITARIA, EM CAIXA COM 22 À 25GR, ;Homologado;5572.00;2492.00;55187334000108;HAKOUR DISTRIBUIDORA DE ALIMENTOS LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);18;EXCLUSIVA - RODO COM CABO EM ALUMÍNO MEDINDO 1,50M X 7/8, COM DUAS LÂMINAS DE BORRACHA;Homologado;2500.00;2149.00;57069019000101;MULTILISA COMERCIO DE VARIEDADES LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);19;EXCLUSIVA -  SABAO DE CÔCO,DE ALTA QUALIDADE. BARRA C/ 200 GR. ;Homologado;360.00;360.00;29755673000133;KF COMERCIO DE PRODUTOS DE LIMPEZA LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);20;EXCLUSIVA - SABAO EM BARRA, GLICERINADO, BIODEGRADÁVEL, DE ALTA QUALIDADE. BARRA C/ 200 G;Homologado;2950.00;1740.00;57069019000101;MULTILISA COMERCIO DE VARIEDADES LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);21;EXCLUSIVA - SABAO EM PO, PACOTE DE 05 KG, ;Homologado;5138.40;4267.20;57069019000101;MULTILISA COMERCIO DE VARIEDADES LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);22;EXCLUSIVA - SAPONACEO EM PO COMPOSTO A BASE DE PÓ MINERAL, SULFONATO, SILICATOS ALCALINOS, ÁGUA E ESSENCIA , FRASCO C/ 300G. ;Homologado;1892.80;1332.80;49547438000183;ELLOLIMP COMERCIO DE PRODUTOS DE HIGIENE E LIMPEZA LTDA
209;2025;Pregão Eletrônico (Lei Federal 14.133/2021);23;EXCLUSIVA - VASSOURA DE NYLON PLUMADA, COM CABO, TAMANHO PADRAO ;Homologado;1939.90;1035.50;34090540000125;N63 COM. DE PRODUTOS DE LIMPEZA LTDA
210;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;AMPLA DISPUTA;Homologado;87411.13;82832.00;08689089000157;TOCCATO TECNOLOGIA EM SISTEMAS LTDA.
211;2025;Pregão Eletrônico (Lei Federal 14.133/2021);1;AMPLA - BALANCA ELETRONICA DE PRECISAO, PESO MAXIMO 5 KG, PRECISAO 1 G. ;Homologado;49400.00;25350.00;38094484000158;ZDX PRODUTOS ELETRONICOS LTDA
211;2025;Pregão Eletrônico (Lei Federal 14.133/2021);2;AMPLA - BALANÇA ANALITICA, CAPACIDADE 120G, RESOLUÇÃO 0,0001G, BIVOLT;Homologado;10355.33;8544.40;60431715000120;MARTE CIENTIFICA & INSTRUMENTAÇÃO INDUSTRIAL LTDA.
211;2025;Pregão Eletrônico (Lei Federal 14.133/2021);2;AMPLA - BALANÇA ANALITICA, CAPACIDADE 120G, RESOLUÇÃO 0,0001G, BIVOLT;Homologado;10355.33;8544.40;60431715000120;MARTE CIENTIFICA & INSTRUMENTAÇÃO INDUSTRIAL LTDA.
211;2025;Pregão Eletrônico (Lei Federal 14.133/2021);3;AMPLA - BALANÇA DIGITAL ELETRÔNICA COM RÉGUA, PARA ATÉ 200KG , ;Homologado;14069.12;9814.87;23217514000107;HUBNET E-COMMERCE LTDA - ME.
