numprocesso;ano;modalidade;situacao;objeto;orgao;criteriojulgamento;valor_estimado;valor_ou_desconto_homologado;dataabertura;datahomologacao;arquivo;objeto_normalizado;proporcao_homologado_estimado;flag_sobrepreco;lead_time_dias;ano_abertura;volume_licitacoes_orgao_ano;orgao_norm;municipio_extraido;populacao;idhm;categoria_objeto;score_anomalia;score_if;score_lof;classificacao;flag_anomalia;driver_principal;z_score_driver;tipo_anomalia;driver_contexto;valor_estimado_fmt;valor_homol_fmt;proporcao_fmt;lead_time_fmt
36;2020;Pregão Eletrônico;Homologado;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM SERVIÇOS PARA ELABORAÇÃO, REVISÃO CONTÁBIL E PERÍCIA CONTÁBIL DE CÁLCULOS JUDICIAIS EM AÇÕES TRABALHISTAS PARA ARBITRAMENTO E PROVISÃO PARA CONTINGÊNCIAS PASSIVAS. ;APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;88177833.0;10200000.0;2020-02-14;2020-03-24;TB_LICITACOES-2020.csv;contratação de empresa especializada em serviços para elaboração, revisão contábil e perícia contábil de cálculos judiciais em ações trabalhistas para arbitramento e provisão para contingências passivas.;0.11567533078296446;False;39.0;2020;89;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;servicos;0.42378212880772775;0.6576498719802225;0.07298051404898553;Anomalia Crítica;True;gasto_per_capita_log1p;6.38;Gasto per Capita Atípico;gasto per capita muito alto;R$ 88,177,833;R$ 10,200,000;0.12×;39 dias
1533;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;FORNECIMENTO PARCELADO DE ÓRTESES E PRÓTESES PARA ORTOPEDIA, SOB FORMA DE CONSIGNAÇÃO E COM CESSÃO EM COMODATO DE EQUIPAMENTOS E CAIXAS DE INSTRUMENTAIS CIRÚRGICOS, PARA ATENDER O HOSPITAL UNIVERSITÁRIO DE LONDRINA.;UEL-Universidade Estadual de Londrina;Menor Preço;376015017.0;;2024-10-24;2024-11-26;TB_LICITACOES-2024.csv;fornecimento parcelado de órteses e próteses para ortopedia, sob forma de consignação e com cessão em comodato de equipamentos e caixas de instrumentais cirúrgicos, para atender o hospital universitário de londrina.;;False;33.0;2024;250;uel-universidade estadual de londrina;Londrina;581382.0;0.725;saude;0.42374298222546886;0.6912871957245382;0.02242666197686477;Anomalia Crítica;True;desvio_per_capita_categoria;7.52;Gasto Desproporcional ao Porte;desproporcional vs pares;R$ 376,015,017;—;—;33 dias
1465;2020;Pregão Eletrônico;Homologado;"Registro de Preços para a aquisição ordinária de materiais indicados na Tabela 1 do Termo de Referência, para manutenção de fundeio do balizamento náutico dos Portos de Paranaguá e Antonina/PR, conforme condições, quantidades e exigências estabelecidas neste neste edital e no Anexo I (Termo de Referência.
As características, quantidades e especificações referentes ao objeto encontram-se no item 1 do Termo de Referência.
";APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;264392490.0;193000000.0;2020-12-14;2021-01-19;TB_LICITACOES-2020.csv;registro de preços para a aquisição ordinária de materiais indicados na tabela 1 do termo de referência, para manutenção de fundeio do balizamento náutico dos portos de paranaguá e antonina/pr, conforme condições, quantidades e exigências estabelecidas neste neste edital e no anexo i (termo de referência. as características, quantidades e especificações referentes ao objeto encontram-se no item 1 do termo de referência.;0.7299753483920818;False;36.0;2020;89;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;outros;0.4236808448573688;0.7042117194530845;0.0028845329637952302;Anomalia Crítica;True;desvio_per_capita_categoria;10.0;Gasto Desproporcional ao Porte;desproporcional vs pares;R$ 264,392,490;R$ 193,000,000;0.73×;36 dias
171;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Fase Certame;EXECUÇÃO DA OBRA DE IMPLANTAÇÃO DO CORREDOR METROPOLITANO PR-423, ENTRE OS MUNICÍPIOS DE ARAUCÁRIA E CURITIBA, COM EXTENSÃO TOTAL DE 8,98 KM;AMEP-Agência de Assuntos Metropolitanos do Paraná (Antigo COMEC);Maior Desconto;35550451773.0;;2025-01-29;;TB_LICITACOES-2024.csv;execução da obra de implantação do corredor metropolitano pr-423, entre os municípios de araucária e curitiba, com extensão total de 8,98 km;;False;;2025;6;amep-agencia de assuntos metropolitanos do parana (antigo comec);;;;obras;0.4236731634642588;0.6470575577182077;0.08859657208333556;Anomalia Crítica;True;valor_estimado_log1p;2.7;Valor Estimado Atípico;R$ 35,550,451,773 estimado;R$ 35,550,451,773;—;—;—
242;2023;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada na prestação de serviços de apoio nos eventos e apresentações artísticos.;CCTG-Centro Cultural Teatro Guaira;Menor Preço;27550004.0;;2023-08-31;2023-09-26;TB_LICITACOES-2023.csv;contratação de empresa especializada na prestação de serviços de apoio nos eventos e apresentações artísticos.;;False;26.0;2023;21;cctg-centro cultural teatro guaira;Guaíra;33058.0;0.641;servicos;0.42363596256884073;0.6824921354576736;0.03535170323559139;Anomalia Crítica;True;gasto_per_capita_log1p;6.73;Gasto per Capita Atípico;gasto per capita muito alto;R$ 27,550,004;—;—;26 dias
4;2023;Chamamento Público;Fase Certame;Realização de chamamento público, com fundamento do Programa Leite das Crianças,com vistas ao credenciamento de usinas de beneficiamento de leite para atender à demanda do Programa Leite das Crianças, e das ações previstas n Decreto Estadual nº 4.675/2012, aprovando os termos do ato convocatório, Edital de Chamamento Público n 001/2023.;SEAB-Secretaria de Estado da Agricultura e do Abastecimento;Menor Preço;0.0;;2023-06-26;;TB_LICITACOES-2023.csv;realização de chamamento público, com fundamento do programa leite das crianças,com vistas ao credenciamento de usinas de beneficiamento de leite para atender à demanda do programa leite das crianças, e das ações previstas n decreto estadual nº 4.675/2012, aprovando os termos do ato convocatório, edital de chamamento público n 001/2023.;;False;;2023;3;seab-secretaria de estado da agricultura e do abastecimento;;;;veiculos;0.4236338190888612;0.6875670416442845;0.02773398525572636;Anomalia Crítica;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
197;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada em arquitetura/engenharia para prestação de serviços de elaboração do Estudo de Impacto de Vizinhança - EIV, atendo como base o Plano Diretor do Hospital Universitário Regional de Maringá de 2016, localizado Av. Mandacaru, 1590 - Parque das Laranjeiras, Maringá - PR, 87083-240, a ser protocolado e aprovado devidamente na SEURBH / PMM.;UEM-Universidade Estadual de Maringá;Menor Preço;9333333.0;1490000.0;2024-12-09;2025-01-20;TB_LICITACOES-2024.csv;contratação de empresa especializada em arquitetura/engenharia para prestação de serviços de elaboração do estudo de impacto de vizinhança - eiv, atendo como base o plano diretor do hospital universitário regional de maringá de 2016, localizado av. mandacaru, 1590 - parque das laranjeiras, maringá - pr, 87083-240, a ser protocolado e aprovado devidamente na seurbh / pmm.;0.15964286284438794;False;42.0;2024;227;uem-universidade estadual de maringa;Maringá;429660.0;0.681;saude;0.42358184462772286;0.6798516696142587;0.03917710714791912;Anomalia Crítica;True;gasto_per_capita_log1p;3.12;Gasto per Capita Atípico;gasto per capita muito alto;R$ 9,333,333;R$ 1,490,000;0.16×;42 dias
12;2024;Audiência Pública;Fase Certame;Audiência Pública para Registro de Preços pelo período de um ano prorrogável por igual período desde que comprovada a vantajosidade dos preços para a futura e eventual aquisição de veículos serviços de plotagem e atualização de plotagem conforme especificações técnicas descritas no item 1.2 que poderão ser adquiridos por meio de recursos provenientes de emendas parlamentares e convênios específicos;SEAP-Secretaria de Estado da Administração e da Previdência;Menor Preço;0.0;;2024-10-29;;TB_LICITACOES-2024.csv;audiência pública para registro de preços pelo período de um ano prorrogável por igual período desde que comprovada a vantajosidade dos preços para a futura e eventual aquisição de veículos serviços de plotagem e atualização de plotagem conforme especificações técnicas descritas no item 1.2 que poderão ser adquiridos por meio de recursos provenientes de emendas parlamentares e convênios específicos;;False;;2024;11;seap-secretaria de estado da administracao e da previdencia;;;;educacao;0.4234112082623468;0.6929767465644585;0.019062900809179367;Anomalia Crítica;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
196;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação de empresa especializada em arquitetura/engenharia para elaboração de projeto de estrutura metálica para a troca do telhado existente de 7.071,51m2, do Bloco S05 do Hospital Universitário Regional de Maringá;UEM-Universidade Estadual de Maringá;Menor Preço;2525200.0;800000.0;2024-12-09;2025-01-20;TB_LICITACOES-2024.csv;contratação de empresa especializada em arquitetura/engenharia para elaboração de projeto de estrutura metálica para a troca do telhado existente de 7.071,51m2, do bloco s05 do hospital universitário regional de maringá;0.3168065895770632;False;42.0;2024;227;uem-universidade estadual de maringa;Maringá;429660.0;0.681;saude;0.4233559457393471;0.6588888382585644;0.0700566069605211;Anomalia Crítica;True;desconto_pct;1.94;Desconto Atípico;desconto de 68%;R$ 2,525,200;R$ 800,000;0.32×;42 dias
2495;2022;Pregão Eletrônico;Homologado;"Contratação atraves de SISTEMA DE REGISTRO DE PREÇOS para aquisição de Redutores e Motorredutores,  em atendimento às necessidades de manutenção do corredor de exportação leste COREX e eixo secundário, Silos públicos, Terminal Público de Fertilizantes TEFER e Corredor de Exportação Oeste berço 201 da Administração dos Portos de Paranaguá e Antonina, por um período de 12 doze meses, conforme justificativas, normas e especificações técnicas constantes do Termo de referência, Edital e demais anexos.

O objeto foi apresentado em lote único, composto por 20 vinte itens.
LOTE 1 REDUTORES E MOTORREDUTORES.
";APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;211530170.0;197799899.0;2022-12-22;2023-03-30;TB_LICITACOES-2022.csv;contratação atraves de sistema de registro de preços para aquisição de redutores e motorredutores, em atendimento às necessidades de manutenção do corredor de exportação leste corex e eixo secundário, silos públicos, terminal público de fertilizantes tefer e corredor de exportação oeste berço 201 da administração dos portos de paranaguá e antonina, por um período de 12 doze meses, conforme justificativas, normas e especificações técnicas constantes do termo de referência, edital e demais anexos. o objeto foi apresentado em lote único, composto por 20 vinte itens. lote 1 redutores e motorredutores.;0.9350907201559002;False;98.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;veiculos;0.4231069859953332;0.6788555345526747;0.03948416315932097;Anomalia Crítica;True;gasto_per_capita_log1p;7.25;Gasto per Capita Atípico;gasto per capita muito alto;R$ 211,530,170;R$ 197,799,899;0.94×;98 dias
5;2022;Audiência Pública;Fase Certame;Audiência Pública - Grupo Veículos;SEAP-Secretaria de Estado da Administração e da Previdência;Menor Preço;0.0;;2022-06-28;;TB_LICITACOES-2022.csv;audiência pública - grupo veículos;;False;;2022;11;seap-secretaria de estado da administracao e da previdencia;;;;veiculos;0.42290380085231577;0.6842785855338351;0.03084162383003673;Anomalia Crítica;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
5;2024;Chamamento Público;Fase Certame;O presente Edital de Chamamento Público objetiva realizar o credenciamento de empresas fabricantes ou concessionárias de máquinas, implementos e equipamentos agrícolas interessadas em diretamente comercializar a Agricultores Familiares que se enquadram nas normas do Pronaf e do PTS/PR, colhedoras, pulverizadores e tratores agrícolas que atendam as especificações e os preços máximos estabelecidos mediante Resolução da SEAB.;SEAB-Secretaria de Estado da Agricultura e do Abastecimento;Menor Preço;0.0;;2024-04-10;;TB_LICITACOES-2024.csv;o presente edital de chamamento público objetiva realizar o credenciamento de empresas fabricantes ou concessionárias de máquinas, implementos e equipamentos agrícolas interessadas em diretamente comercializar a agricultores familiares que se enquadram nas normas do pronaf e do pts/pr, colhedoras, pulverizadores e tratores agrícolas que atendam as especificações e os preços máximos estabelecidos mediante resolução da seab.;;False;;2024;6;seab-secretaria de estado da agricultura e do abastecimento;;;;veiculos;0.422253378212008;0.6887013360851788;0.022581441402251882;Anomalia Crítica;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
98;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Projeto e Orçamento para reformas do Colegiado do Curso de Pedagogia  Campus Cascavel;UNIOESTE CASC-Universidade Estadual do Oeste do Paraná - Campus Cascavel;Menor Preço;8879016.0;;2023-12-04;2024-07-25;TB_LICITACOES-2023.csv;projeto e orçamento para reformas do colegiado do curso de pedagogia campus cascavel;;False;234.0;2023;27;unioeste casc-universidade estadual do oeste do parana - campus cascavel;Cascavel;368195.0;0.713;obras;0.4222147511448862;0.6887171152936125;0.02246120492179687;Anomalia Crítica;True;gasto_per_capita_log1p;3.22;Gasto per Capita Atípico;gasto per capita muito alto;R$ 8,879,016;—;—;234 dias
19;2023;Pregão Presencial;Homologado;"Contratacao de empresa especializada para a prestacao de servicos de abastecimento, com o fornecimento de combustiveis, gasolina comum, diesel S 10, juntamente com o ARLA 32, com a utilizacao de cartoes eletronicos ou tecnologia similar, para atender a frota locada de veículos da Administracao dos Portos de Paranagua e Antonina, e aos grupos geradores instalados nos prédios deste Porto, atendendo as necessidades ordinarias para o período de 24 vinte e quatro meses, conforme justificativas, quantidades e demais especificacoes  estabelecidas no termo de referencia e edital. 

";APPA-Administração dos Portos de Paranaguá e Antonina;Maior Desconto;60383780.0;500.0;2023-09-05;2023-09-25;TB_LICITACOES-2023.csv;contratacao de empresa especializada para a prestacao de servicos de abastecimento, com o fornecimento de combustiveis, gasolina comum, diesel s 10, juntamente com o arla 32, com a utilizacao de cartoes eletronicos ou tecnologia similar, para atender a frota locada de veículos da administracao dos portos de paranagua e antonina, e aos grupos geradores instalados nos prédios deste porto, atendendo as necessidades ordinarias para o período de 24 vinte e quatro meses, conforme justificativas, quantidades e demais especificacoes estabelecidas no termo de referencia e edital.;8.280369330969344e-06;False;20.0;2023;66;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;veiculos;0.42184136158891034;0.6708371042213507;0.0483477476402498;Anomalia Crítica;True;gasto_per_capita_log1p;6.0;Gasto per Capita Atípico;gasto per capita muito alto;R$ 60,383,780;R$ 500;0.00×;20 dias
24;2025;Credenciamento;Fase Certame;CHAMAMENTO PÚBLICO PARA CREDENCIAMENTO de empresas especializadas para execução de manutenção predial, manutenções corretivas e pequenas reformas que não alteram o uso dos ambientes, com fornecimento de todos os equipamentos, materiais e mão de obra necessários para a perfeita execução dos serviços, em atendimento às demandas e necessidades da UEM no Campus Sede, COD, CTI, Estação de Piscicultura, FEI, HUM, NUPAGRI, UPA e nos Campus Regionais - Cianorte, Cidade Gaúcha, Diamante do Norte, Goioerê, Ivaiporã, Umuarama e Base Avançada de Porto Rico.;UEM-Universidade Estadual de Maringá;Menor Preço;466913449.0;;2025-06-20;;TB_LICITACOES-2025.csv;chamamento público para credenciamento de empresas especializadas para execução de manutenção predial, manutenções corretivas e pequenas reformas que não alteram o uso dos ambientes, com fornecimento de todos os equipamentos, materiais e mão de obra necessários para a perfeita execução dos serviços, em atendimento às demandas e necessidades da uem no campus sede, cod, cti, estação de piscicultura, fei, hum, nupagri, upa e nos campus regionais - cianorte, cidade gaúcha, diamante do norte, goioerê, ivaiporã, umuarama e base avançada de porto rico.;;False;;2025;143;uem-universidade estadual de maringa;Maringá;429660.0;0.681;obras;0.4218193018932248;0.6883098337060499;0.022083504173987117;Anomalia Crítica;True;gasto_per_capita_log1p;6.99;Gasto per Capita Atípico;gasto per capita muito alto;R$ 466,913,449;—;—;—
9;2023;Leilão;Homologado;Leilão Administrativo de Bovinos e Suínos - FESCON;UEPG-Universidade Estadual de Ponta Grossa;Maior Lance;6310400.0;6551800.0;2023-09-06;2023-09-11;TB_LICITACOES-2023.csv;leilão administrativo de bovinos e suínos - fescon;1.0382543103448276;True;5.0;2023;35;uepg-universidade estadual de ponta grossa;Ponta Grossa;375632.0;0.705;outros;0.4216653340658574;0.5316058052045137;0.2567546273578728;Anomalia Crítica;True;sobrepreco_pct;3.83;Sobrepreço;pago 1.0× o estimado;R$ 6,310,400;R$ 6,551,800;1.04×;5 dias
1088;2025;Pregão Eletrônico (Lei Federal 14.133/2021);Suspenso;Aquisição de equipamentos de informática e multimídia;UEM-Universidade Estadual de Maringá;Menor Preço;264727774.0;;2025-08-25;;TB_LICITACOES-2025.csv;aquisição de equipamentos de informática e multimídia;;False;;2025;143;uem-universidade estadual de maringa;Maringá;429660.0;0.681;tecnologia;0.4211632671269217;0.6597579275317873;0.06327127651962332;Anomalia Crítica;True;gasto_per_capita_log1p;6.43;Gasto per Capita Atípico;gasto per capita muito alto;R$ 264,727,774;—;—;—
15;2022;Concorrência Pública;Homologado;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA, EM REGIME DE PERMISSÃO DE USO DE ESPAÇO PÚBLICO, PARA INSTALAÇÃO E EXPLORAÇÃO DE SERVIÇOS DE CANTINA UNIVERSITÁRIA NO CÂMPUS REGIONAL DE UMUARAMA - CAU/CCA, NO MUNICÍPIO DE UMUARAMA, ESTADO DO PARANÁ;UEM-Universidade Estadual de Maringá;Maior Preço;26000.0;27500.0;2022-04-27;2022-05-18;TB_LICITACOES-2022.csv;contratação de empresa especializada, em regime de permissão de uso de espaço público, para instalação e exploração de serviços de cantina universitária no câmpus regional de umuarama - cau/cca, no município de umuarama, estado do paraná;1.0576923076923077;True;21.0;2022;161;uem-universidade estadual de maringa;Maringá;429660.0;0.681;servicos;0.42068699378873126;0.6515999273776233;0.07431759340539325;Anomalia Crítica;True;sobrepreco_pct;5.77;Sobrepreço;pago 1.1× o estimado;R$ 26,000;R$ 27,500;1.06×;21 dias
1287;2022;Pregão Eletrônico;Homologado;Registro de Preço para aquisição de computadores, Kit upgrade e SSD.;UNIOESTE FOZ-Universidade Estadual do Oeste do Paraná - Campus Foz do Iguaçu;Menor Preço;211919660.0;129680850.0;2022-08-30;2022-10-28;TB_LICITACOES-2022.csv;registro de preço para aquisição de computadores, kit upgrade e ssd.;0.6119340225442038;False;59.0;2022;51;unioeste foz-universidade estadual do oeste do parana - campus foz do iguacu;Foz do Iguaçu;297352.0;0.732;tecnologia;0.4201839682863989;0.6758766915870938;0.03664488333535647;Anomalia Crítica;True;gasto_per_capita_log1p;6.57;Gasto per Capita Atípico;gasto per capita muito alto;R$ 211,919,660;R$ 129,680,850;0.61×;59 dias
2;2023;Audiência Pública;Fase Certame;Credenciamento de pessoas jurídicas qualificadas, para concessão da exploração da atividade de modalidade lotérica de Apostas Esportivas de Quota-Fixa AEQF, que consiste em sistema de apostas relativas a eventos reais de temática esportiva e cotidiano, em que é definido, no momento de efetivação da aposta, quanto o apostador pode ganhar em caso de acerto do prognóstico escolhido;SEAP-Secretaria de Estado da Administração e da Previdência;Menor Preço;0.0;;2023-02-14;;TB_LICITACOES-2023.csv;credenciamento de pessoas jurídicas qualificadas, para concessão da exploração da atividade de modalidade lotérica de apostas esportivas de quota-fixa aeqf, que consiste em sistema de apostas relativas a eventos reais de temática esportiva e cotidiano, em que é definido, no momento de efetivação da aposta, quanto o apostador pode ganhar em caso de acerto do prognóstico escolhido;;False;;2023;14;seap-secretaria de estado da administracao e da previdencia;;;;servicos;0.42013982814977224;0.6964014133033825;0.0057474504193569306;Anomalia Crítica;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
4;2023;Concorrência Pública;Deserto;"Exploração dos serviços de apoio à visitação, serviços
de apoio ao turismo sustentável, à interpretação ambiental e à recreação em contato
com a natureza no PARQUE ESTADUAL DO GUARTELÁ, conforme condições,
quantidades e exigências estabelecidas neste EDITAL e em seus ANEXOS.";IAT-Instituto Água e Terra (Antigo IAP);Maior Lance;171675512640.0;;2023-02-28;;TB_LICITACOES-2023.csv;exploração dos serviços de apoio à visitação, serviços de apoio ao turismo sustentável, à interpretação ambiental e à recreação em contato com a natureza no parque estadual do guartelá, conforme condições, quantidades e exigências estabelecidas neste edital e em seus anexos.;;False;;2023;27;iat-instituto agua e terra (antigo iap);;;;agricultura;0.4200460182034399;0.659459407560906;0.060925934167240604;Anomalia Crítica;True;valor_estimado_log1p;2.95;Valor Estimado Atípico;R$ 171,675,512,640 estimado;R$ 171,675,512,640;—;—;—
9;2024;Audiência Pública;Homologado;AUDIÊNCIA PÚBLICA PARA DEFINIÇÃO DE ESPECIFICAÇÕES TÉCNICAS E DIÁLOGO COM O MERCADO PARA FUTURA CONTRATAÇÃO DE FERRAMENTA DE ANÁLISE DE SITES E MONITORAMENTO DE PORTAIS PARA ATENDER ÀS NECESSIDADES DA SECOM.;SECOM-Secretaria de Estado da Comunicação;-;0.0;0.0;2024-07-25;2024-08-05;TB_LICITACOES-2024.csv;audiência pública para definição de especificações técnicas e diálogo com o mercado para futura contratação de ferramenta de análise de sites e monitoramento de portais para atender às necessidades da secom.;;False;11.0;2024;7;secom-secretaria de estado da comunicacao;;;;seguranca;0.4197643745440438;0.6901793433061546;0.014141921400877637;Anomalia Crítica;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;11 dias
2036;2022;Pregão Eletrônico;Homologado;Contratação de empresa especializada para a prestação de serviços de manutenção elétrica  predial e industrial corretiva e preventiva nas instalações da Administração dos Portos de Paranaguá e Antonina  APPA, com dedicação exclusiva de mao de obra, com fornecimento de materiais sob demanda, conforme escopo, especificação de serviços e demais condições presentes no termo de referência e edital e anexos. ;APPA-Administração dos Portos de Paranaguá e Antonina;Menor Preço;490327468.0;350000000.0;2022-11-23;2022-01-09;TB_LICITACOES-2022.csv;contratação de empresa especializada para a prestação de serviços de manutenção elétrica predial e industrial corretiva e preventiva nas instalações da administração dos portos de paranaguá e antonina appa, com dedicação exclusiva de mao de obra, com fornecimento de materiais sob demanda, conforme escopo, especificação de serviços e demais condições presentes no termo de referência e edital e anexos.;0.713808674491799;False;0.0;2022;75;appa-administracao dos portos de paranagua e antonina;Paranaguá;150104.0;0.746;obras;0.4196700164347721;0.6769361386312782;0.033770833140012925;Anomalia Crítica;True;gasto_per_capita_log1p;8.09;Gasto per Capita Atípico;gasto per capita muito alto;R$ 490,327,468;R$ 350,000,000;0.71×;—
984;2025;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Fornecimento e instalação de cortinas - Prestação de serviço;UNIOESTE FBELT-Universidade Estadual do Oeste do Paraná - Campus Francisco Beltrão;Menor Preço;13047747.0;3642000.0;2025-08-11;2025-09-01;TB_LICITACOES-2025.csv;fornecimento e instalação de cortinas - prestação de serviço;0.27912864956685624;False;21.0;2025;3;unioeste fbelt-universidade estadual do oeste do parana - campus francisco beltrao;Francisco Beltrão;102312.0;0.751;outros;0.41966496358500754;0.6810125499727893;0.027643584003335026;Anomalia Crítica;True;gasto_per_capita_log1p;4.86;Gasto per Capita Atípico;gasto per capita muito alto;R$ 13,047,747;R$ 3,642,000;0.28×;21 dias
5;2024;Pregão Presencial (Lei Federal 14.133/2021);Homologado;CONTRATAÇÃO DE SERVIÇOS DE TERCEIRIZAÇÃO PARA MONITORES DE RESSOCIALIZAÇÃO;DECON-Departamento de Logística para Contratações Públicas (Antigo DEAM);Menor Preço;199698193440.0;199142109900.0;2024-10-15;2024-12-09;TB_LICITACOES-2024.csv;contratação de serviços de terceirização para monitores de ressocialização;0.9972153802174125;False;55.0;2024;135;decon-departamento de logistica para contratacoes publicas (antigo deam);;;;servicos;0.4193757304705437;0.515794695376489;0.2747472831116257;Anomalia Crítica;True;sobrepreco_pct;20.0;Sobrepreço;pago 1.0× o estimado;R$ 199,698,193,440;R$ 199,142,109,900;1.00×;55 dias
38;2023;Concorrência Pública;Homologado;Reforma Para Reparos Estruturais no CCS.;UNIOESTE FBELT-Universidade Estadual do Oeste do Paraná - Campus Francisco Beltrão;Menor Preço;28819890.0;26200000.0;2023-08-17;2023-09-04;TB_LICITACOES-2023.csv;reforma para reparos estruturais no ccs.;0.9090943789167828;False;18.0;2023;5;unioeste fbelt-universidade estadual do oeste do parana - campus francisco beltrao;Francisco Beltrão;102312.0;0.751;obras;0.4192153010797051;0.6914354064610484;0.010885143007690131;Anomalia Crítica;True;gasto_per_capita_log1p;5.64;Gasto per Capita Atípico;gasto per capita muito alto;R$ 28,819,890;R$ 26,200,000;0.91×;18 dias
1328;2024;Pregão Eletrônico (Lei Federal 14.133/2021);Homologado;Contratação de serviços contínuos por empresa especializada e licenciada pela Universidade Federal do Rio Grande do Norte - UFRN, para implementação do Sistema Integrado de Gestão de Atividades Acadêmicas SIGAA-UFRN;UEM-Universidade Estadual de Maringá;Menor Preço;448124500.0;;2024-09-26;2024-09-27;TB_LICITACOES-2024.csv;contratação de serviços contínuos por empresa especializada e licenciada pela universidade federal do rio grande do norte - ufrn, para implementação do sistema integrado de gestão de atividades acadêmicas sigaa-ufrn;;False;1.0;2024;227;uem-universidade estadual de maringa;Maringá;429660.0;0.681;servicos;0.419103767212484;0.6573799710644758;0.06168946143449635;Anomalia Crítica;True;gasto_per_capita_log1p;6.95;Gasto per Capita Atípico;gasto per capita muito alto;R$ 448,124,500;—;—;1 dias
154;2024;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;Contratação integrada de empresa especializada em Elaboração de projetos e construção da sede da Delegacia Regional e Delegacia da mulher, situada à Rua Elias Alves Ferreira s/n, no município de Piraquara, Paraná.;SECID-Secretaria de Estado das Cidades (Antigo SEDU);Maior Desconto;960085554.0;2350.0;2025-03-07;2025-04-30;TB_LICITACOES-2024.csv;contratação integrada de empresa especializada em elaboração de projetos e construção da sede da delegacia regional e delegacia da mulher, situada à rua elias alves ferreira s/n, no município de piraquara, paraná.;2.447698530833222e-06;False;54.0;2025;28;secid-secretaria de estado das cidades (antigo sedu);;;;obras;0.4190963275324882;0.6685405387733344;0.04493001067121883;Anomalia Crítica;True;desconto_pct;2.94;Desconto Atípico;desconto de 100%;R$ 960,085,554;R$ 2,350;0.00×;54 dias
30;2023;Concorrência Eletrônica (Lei Federal 14.133/2021);Homologado;CONTRATAÇÃO DE SERVIÇOS TÉCNICOS ESPECIALIZADOS DE ENGENHARIA, PARA RECUPERAÇÃO E REFORMA DO BLOCO 03 E PASSARELAS DE ACESSO DO CCB DA UNIVERSIDADE ESTADUAL DE LONDRINA. - A PARTIR DOS LAYOUTS E MEMORIAIS ANEXOS - MAIORES DETALHES NA PASTA TÉCNICA.;UEL-Universidade Estadual de Londrina;Menor Preço;50838602.0;;2024-04-19;2024-09-25;TB_LICITACOES-2023.csv;contratação de serviços técnicos especializados de engenharia, para recuperação e reforma do bloco 03 e passarelas de acesso do ccb da universidade estadual de londrina. - a partir dos layouts e memoriais anexos - maiores detalhes na pasta técnica.;;False;159.0;2024;250;uel-universidade estadual de londrina;Londrina;581382.0;0.725;obras;0.41904013694405123;0.6908353903967817;0.011347256764955628;Anomalia Crítica;True;gasto_per_capita_log1p;4.48;Gasto per Capita Atípico;gasto per capita muito alto;R$ 50,838,602;—;—;159 dias
10;2021;Audiência Pública;Fase Certame;Audiência Pública por meio de vídeo conferência referente à elaboração de Registro de Preços para futura e eventual aquisição de gêneros alimentícios (relacionados no Edital) para atendimento ao Programa de Alimentação Escolar 2021/2022, com base no art. 83 da Lei Estadual nº 15.608/2007.;FUNDEPAR-Instituto Paranaense de Desenvolvimento Educacional;Menor Preço;;;2021-11-10;;TB_LICITACOES-2021.csv;audiência pública por meio de vídeo conferência referente à elaboração de registro de preços para futura e eventual aquisição de gêneros alimentícios (relacionados no edital) para atendimento ao programa de alimentação escolar 2021/2022, com base no art. 83 da lei estadual nº 15.608/2007.;;False;;2021;78;fundepar-instituto paranaense de desenvolvimento educacional;;;;educacao;0.4185857501794231;0.6789972225699498;0.027968541593633097;Anomalia Crítica;True;valor_estimado_log1p;6.61;Valor Estimado Atípico;valor atípico;—;—;—;—
